canonical_precinct_id,universe_name,universe_reason,key_metrics_snapshot
0200142,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 79, ""turnout_pct"": 0.646, ""support_pct"": 0.882}"
0200147,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 9, ""turnout_pct"": 0.667, ""support_pct"": 0.333}"
0250047,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2152, ""turnout_pct"": 0.634, ""support_pct"": 0.709}"
0250052,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1722, ""turnout_pct"": 0.691, ""support_pct"": 0.667}"
0300003,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 53, ""turnout_pct"": 0.66, ""support_pct"": 0.457}"
0300007,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 9, ""turnout_pct"": 0.222, ""support_pct"": 1.0}"
0300019,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 281, ""turnout_pct"": 0.53, ""support_pct"": 0.933}"
0300020,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 122, ""turnout_pct"": 0.607, ""support_pct"": 0.568}"
0300025,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 34, ""turnout_pct"": 0.765, ""support_pct"": 0.615}"
0310051,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 652, ""turnout_pct"": 0.436, ""support_pct"": 0.866}"
0360010,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 472, ""turnout_pct"": 0.646, ""support_pct"": 0.643}"
0400001,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 3, ""turnout_pct"": 1.0, ""support_pct"": 0.667}"
0400005,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 28, ""turnout_pct"": 0.643, ""support_pct"": 0.667}"
0400008,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 47, ""turnout_pct"": 0.553, ""support_pct"": 0.923}"
0400010,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 40, ""turnout_pct"": 0.775, ""support_pct"": 0.516}"
0400013,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0400059,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0400060,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 3, ""turnout_pct"": 0.667, ""support_pct"": 0.0}"
0400061,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0400067,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 103, ""turnout_pct"": 0.621, ""support_pct"": 0.656}"
0400125,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 6, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0400146,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0400159,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 16, ""turnout_pct"": 0.375, ""support_pct"": 0.333}"
0400170,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 1, ""turnout_pct"": 1.0, ""support_pct"": 1.0}"
0410008,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 73, ""turnout_pct"": 0.425, ""support_pct"": 0.839}"
0410035,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 101, ""turnout_pct"": 0.673, ""support_pct"": 0.735}"
0410041,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0410046,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0490040,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 296, ""turnout_pct"": 0.639, ""support_pct"": 0.683}"
0500009,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2, ""turnout_pct"": 1.0, ""support_pct"": 0.0}"
0500010,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 13, ""turnout_pct"": 0.769, ""support_pct"": 0.9}"
0500025,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 128, ""turnout_pct"": 0.617, ""support_pct"": 0.481}"
0500026,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 11, ""turnout_pct"": 0.636, ""support_pct"": 0.429}"
0500027,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 89, ""turnout_pct"": 0.708, ""support_pct"": 0.556}"
0500028,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 35, ""turnout_pct"": 0.686, ""support_pct"": 0.875}"
0500079,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 115, ""turnout_pct"": 0.652, ""support_pct"": 0.84}"
0500126,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 53, ""turnout_pct"": 0.736, ""support_pct"": 0.974}"
0500142,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 37, ""turnout_pct"": 0.838, ""support_pct"": 0.774}"
0500154,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 2, ""turnout_pct"": 1.0, ""support_pct"": 1.0}"
0500188,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0500202,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 27, ""turnout_pct"": 0.519, ""support_pct"": 0.5}"
0500203,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 5, ""turnout_pct"": 0.8, ""support_pct"": 0.0}"
0500208,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0500215,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 72, ""turnout_pct"": 0.694, ""support_pct"": 0.94}"
0500218,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 11, ""turnout_pct"": 0.818, ""support_pct"": 0.889}"
0500221,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 61, ""turnout_pct"": 0.721, ""support_pct"": 0.864}"
0500231,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 4, ""turnout_pct"": 1.0, ""support_pct"": 1.0}"
0500252,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0500273,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 233, ""turnout_pct"": 0.588, ""support_pct"": 0.723}"
0500274,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 94, ""turnout_pct"": 0.809, ""support_pct"": 0.868}"
0500278,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 61, ""turnout_pct"": 0.869, ""support_pct"": 0.849}"
0500286,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 31, ""turnout_pct"": 0.806, ""support_pct"": 0.44}"
0500292,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1, ""turnout_pct"": 1.0, ""support_pct"": 0.0}"
0500293,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0500297,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 283, ""turnout_pct"": 0.671, ""support_pct"": 0.674}"
0500304,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0500306,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 9, ""turnout_pct"": 0.222, ""support_pct"": 1.0}"
0500307,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 25, ""turnout_pct"": 0.72, ""support_pct"": 0.5}"
0510027,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
