turf_id,precinct_ids,precinct_count,sum_registered,avg_target_score
TURF_170,0740011,1,527,0.089
TURF_171,0740018,1,403,0.089
TURF_172,0740015,1,539,0.087
TURF_173,0710035,1,382,0.087
TURF_174,0360010,1,472,0.087
TURF_175,0750024,1,351,0.086
TURF_176,0720010,1,480,0.085
TURF_177,0740008,1,463,0.081
TURF_178,0718003,1,348,0.081
TURF_179,0740019,1,421,0.081
TURF_180,0720018,1,390,0.08
TURF_181,0750043,1,340,0.079
TURF_182,0710049,1,418,0.079
TURF_183,0740007,1,382,0.079
TURF_184,0710031,1,436,0.078
TURF_185,0740006,1,462,0.077
TURF_186,0711020,1,394,0.076
TURF_187,"0300019,0750026",2,629,0.074
TURF_188,0725002,1,344,0.07
TURF_189,0710038,1,324,0.069
TURF_190,0720007,1,395,0.066
TURF_191,0720013,1,318,0.066
TURF_192,"0110005,0720017",2,596,0.065
TURF_193,"0490040,0720006",2,637,0.057
TURF_194,0710003,1,324,0.057
TURF_195,"0710043,0710004",2,594,0.055
TURF_196,"0500297,0750028",2,503,0.053
TURF_197,"0730005,0710007",2,487,0.052
TURF_198,"0750011,0740002",2,498,0.049
TURF_199,"0750035,0500273",2,428,0.048
TURF_200,"0720001,0740005",2,572,0.048
TURF_201,0720027,1,344,0.047
TURF_202,"0750021,0750039",2,388,0.046
TURF_203,"0710041,0720016",2,590,0.043
TURF_204,"0710030,0710008",2,481,0.041
TURF_205,"0720025,0710002",2,460,0.038
TURF_206,"0720022,0740016",2,435,0.036
TURF_207,"0720019,0710016",2,344,0.036
TURF_208,"0720020,0741012",2,376,0.035
TURF_209,"0710052,0750012",2,323,0.033
TURF_210,"0710005,0750019",2,303,0.032
TURF_211,"0100262,0750046",2,346,0.03
TURF_212,"0720026,0500079",2,325,0.028
TURF_213,"0710015,0710025,0710034",3,355,0.025
TURF_214,"0500274,0200055,0740010",3,337,0.023
TURF_215,"0720015,0410035,0750022",3,372,0.021
TURF_216,"0200142,0300020,0500215,0400067",4,376,0.02
TURF_217,"0750009,0500025,0410008,0750052",4,358,0.018
TURF_218,"0710032,0710048,0750044,0500221,0500278",5,353,0.016
TURF_219,"0740029,0500126,0720024,0500027,0720008",5,388,0.014
TURF_220,"0720004,0710012,0100018,0710044,0100215",5,319,0.014
TURF_221,"0100206,0710029,0710010,0750023,0400008,0100217",6,330,0.012
TURF_222,"0740012,0750049,0100121,0720029,0720021",5,301,0.011
TURF_223,"0750054,0710028,0740034,0750027,0740004,0710042,0500028",7,314,0.009
TURF_224,"0710009,0500142,0710050,0750048,0750003,0100003,0300003,0740003",8,313,0.008
TURF_225,"0750001,0100007,0750042,0710037,0300025,0400010,0710027,0740026,0740001,0710011",10,304,0.006
TURF_226,"0710006,0400005,0100236,0100021,0740033,0710013,0750002,0500286,0100250,0200029,0500202,0500307",12,310,0.004
TURF_227,"0720028,0110001,0500010,0740032,0100032,0200117,0500218,0200122,0100002,0100225,0100173,0500306,0750045,0300007,0741007,0100177,0710051,0740023,0200130,0400159,0100031,0100172,0500026",23,309,0.002
TURF_228,"0100164,0100073,0200048,0500231,0720030,0100030,0100006,0100019,0740020,0100237,0100067,0200147,0100267,0400001,0710026,0500154,0710046,0400170,0740013,0750041,0100068,0100022,0100175,0100134,0740031,0740027,0720009,0710053,0710047,0710045,0510028,0510027,0500304,0500293,0500292,0500252,0500208,0500203,0500188,0500009,0410046,0410041,0400146,0400125,0400061,0400060,0400059,0400013,0200136,0200121,0200109,0200108,0180017,0110086,0100232",55,141,0.0
