canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0710052,0,130,0.0,0.423077,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.423}",REGION_04,4,Region 04,12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0710053,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}",REGION_03,3,Region 03,4,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720011,0,1149,0.0,0.572672,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.573}",REGION_05,5,Region 05,3,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720012,0,1558,0.0,0.558408,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.558}",REGION_08,8,Region 08,5,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720013,0,232,0.0,0.551724,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.552}",REGION_08,8,Region 08,5,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720014,0,478,0.0,0.525105,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.525}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720015,0,94,0.0,0.43617,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.436}",REGION_04,4,Region 04,12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720016,0,161,0.0,0.490683,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.491}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720017,0,185,0.0,0.594595,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.595}",REGION_09,9,Region 09,3,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720018,0,264,0.0,0.568182,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.568}",REGION_05,5,Region 05,3,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720019,0,107,0.0,0.523364,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.523}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720020,0,153,0.0,0.470588,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.471}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720021,0,53,0.0,0.377358,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.377}",REGION_04,4,Region 04,12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720022,0,142,0.0,0.528169,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.528}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720023,0,1118,0.0,0.550089,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.55}",REGION_08,8,Region 08,5,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720024,0,51,0.0,0.529412,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.529}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720025,0,152,0.0,0.394737,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.395}",REGION_04,4,Region 04,12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0720026,0,102,0.0,0.460784,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.461}",REGION_04,4,Region 04,12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
