canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0400059,REGION_03,3,Region 03,35,0,0.0
0400060,REGION_03,3,Region 03,35,0,0.0
0400061,REGION_03,3,Region 03,35,0,0.0
0400067,REGION_07,7,Region 07,41,0,0.0
0400125,REGION_03,3,Region 03,35,0,0.0
0400146,REGION_03,3,Region 03,35,0,0.0
0400159,REGION_06,6,Region 06,26,0,0.0
0400170,REGION_01,1,Region 01,25,0,0.0
0410008,REGION_04,4,Region 04,41,0,0.0
0410035,REGION_02,2,Region 02,64,0,0.0
0410041,REGION_03,3,Region 03,35,0,0.0
0410046,REGION_03,3,Region 03,35,0,0.0
0490040,REGION_10,10,Region 10,47,0,0.0
0500009,REGION_03,3,Region 03,35,0,0.0
0500010,REGION_05,5,Region 05,24,0,0.0
0500025,REGION_06,6,Region 06,26,0,0.0
0500026,REGION_06,6,Region 06,26,0,0.0
0500027,REGION_08,8,Region 08,26,0,0.0
0500028,REGION_05,5,Region 05,24,0,0.0
0500079,REGION_04,4,Region 04,41,0,0.0
0500126,REGION_01,1,Region 01,25,0,0.0
0500142,REGION_09,9,Region 09,61,0,0.0
0500154,REGION_01,1,Region 01,25,0,0.0
0500188,REGION_03,3,Region 03,35,0,0.0
0500202,REGION_06,6,Region 06,26,0,0.0
0500203,REGION_03,3,Region 03,35,0,0.0
0500208,REGION_03,3,Region 03,35,0,0.0
0500215,REGION_01,1,Region 01,25,0,0.0
0500218,REGION_05,5,Region 05,24,0,0.0
0500221,REGION_05,5,Region 05,24,0,0.0
0500231,REGION_01,1,Region 01,25,0,0.0
0500252,REGION_03,3,Region 03,35,0,0.0
0500273,REGION_02,2,Region 02,64,0,0.0
0500274,REGION_05,5,Region 05,24,0,0.0
0500278,REGION_05,5,Region 05,24,0,0.0
0500286,REGION_06,6,Region 06,26,0,0.0
0500292,REGION_03,3,Region 03,35,0,0.0
0500293,REGION_03,3,Region 03,35,0,0.0
0500297,REGION_10,10,Region 10,47,0,0.0
0500304,REGION_03,3,Region 03,35,0,0.0
0500306,REGION_01,1,Region 01,25,0,0.0
0500307,REGION_06,6,Region 06,26,0,0.0
0510027,REGION_03,3,Region 03,35,0,0.0
0510028,REGION_03,3,Region 03,35,0,0.0
0710001,REGION_07,7,Region 07,41,0,0.0
0710002,REGION_07,7,Region 07,41,0,0.0
0710003,REGION_07,7,Region 07,41,0,0.0
0710004,REGION_08,8,Region 08,26,0,0.0
0710005,REGION_10,10,Region 10,47,0,0.0
0710006,REGION_10,10,Region 10,47,0,0.0
0710007,REGION_02,2,Region 02,64,0,0.0
0710008,REGION_08,8,Region 08,26,0,0.0
0710009,REGION_10,10,Region 10,47,0,0.0
0710010,REGION_10,10,Region 10,47,0,0.0
0710011,REGION_07,7,Region 07,41,0,0.0
0710012,REGION_02,2,Region 02,64,0,0.0
0710013,REGION_10,10,Region 10,47,0,0.0
