canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0410008,73,31,0.424658,0.83871,4.30406509320417,8.54400374531753,0.4246575342465753,61.225829999999995,0.017465718817452135,4,248,medium,Low,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 73, ""turnout_pct"": 0.425, ""support_pct"": 0.839}",REGION_02,3,Region 02,45,68982,0.3312,48,0.8,0.16,12.0,48,0.2,0.4,0.5032260000000001,0.024,0.5272260000000001
0500025,128,79,0.617188,0.481013,4.859812404361672,11.313708498984761,0.6171875,61.569664,0.017563803367124715,4,247,medium,Low,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 128, ""turnout_pct"": 0.617, ""support_pct"": 0.481}",REGION_06,6,Region 06,19,1459,0.0101,85,1.4166666666666667,0.2833333333333333,21.25,85,0.3,0.7,0.10221526250000003,0.425,0.5272152625000001
0750009,70,46,0.657143,0.934783,4.2626798770413155,8.366600265340756,0.6571428571428571,65.43481,0.01866640260055936,4,246,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 70, ""turnout_pct"": 0.657, ""support_pct"": 0.935}",REGION_01,7,Region 01,13,652,0.0135,46,0.7666666666666667,0.15333333333333335,11.5,46,0.2,0.4,0.10750004500000002,0.023,0.130500045
0750052,87,62,0.712644,0.693548,4.477336814478207,9.327379053088816,0.7126436781609196,60.33867600000001,0.01721264291285798,4,249,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 87, ""turnout_pct"": 0.713, ""support_pct"": 0.694}",REGION_10,1,Region 10,99,101232,0.2116,58,0.9666666666666667,0.19333333333333333,14.5,58,0.2,0.5,0.10056446000000002,0.029,0.12956446000000002
