scenario,max_shifts_budget,shifts_assigned,contacts_estimated,expected_net_gain_votes,expected_added_yes_votes,generated_at
baseline,0,0,0,0.0,0.0,2026-03-10T14:36:46.043704
lite,20,0,0,0.0,0.0,2026-03-10T14:37:02.567589
medium,50,0,0,0.0,0.0,2026-03-10T14:37:18.478139
heavy,100,0,0,0.0,0.0,2026-03-10T14:37:36.247331
