week,week_start,doors_goal,shifts_goal,volunteers_goal,contacts_goal,expected_net_gain_votes,notes
1,2026-03-05,0,0,1,0,N/A,ops
2,2026-03-12,0,0,1,0,N/A,
3,2026-03-19,0,0,1,0,N/A,
4,2026-03-26,0,0,1,0,N/A,
5,2026-04-02,0,0,1,0,N/A,
6,2026-04-09,0,0,1,0,N/A,
