week,week_start,doors_goal,shifts_goal,volunteers_goal,contacts_goal,expected_net_gain_votes,notes
1,2026-03-10,1665,28,6,416,10.8,ops
2,2026-03-17,1665,28,6,416,10.8,
3,2026-03-24,1665,28,6,416,10.8,
4,2026-03-31,1665,28,6,416,10.8,
