scenario,max_shifts_budget,shifts_assigned,contacts_estimated,expected_net_gain_votes,expected_added_yes_votes,generated_at
baseline,0,0,0,0.0,0.0,2026-03-14T02:07:59.942175
lite,20,0,0,0.0,0.0,2026-03-14T02:08:17.724051
medium,50,0,0,0.0,0.0,2026-03-14T02:08:34.292096
heavy,100,0,0,0.0,0.0,2026-03-14T02:08:51.110903
