week,week_start,doors_goal,shifts_goal,volunteers_goal,contacts_goal,expected_net_gain_votes,notes
1,2026-03-09,0,0,1,0,N/A,ops
2,2026-03-16,0,0,1,0,N/A,
3,2026-03-23,0,0,1,0,N/A,
4,2026-03-30,0,0,1,0,N/A,
