scenario_id,scenario_name,expected_turnout_pct,total_expected_ballots,expected_support_pct,expected_yes_votes,expected_no_votes,margin_votes
baseline,Baseline (Observed),0.0,0,0,0,0,0
optimistic_turnout,Optimistic Turnout (+10%),0.0,0,0,0,0,0
pessimistic_turnout,Pessimistic Turnout (-15%),0.0,0,0,0,0,0
persuasion_lift_low,Incremental Persuasion (+2%),0.0,0,0,0,0,0
persuasion_lift_high,Strong Field Success (+5%),0.0,0,0,0,0,0
