canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0500221,61,44,0.721311,0.863636,4.127134385045092,7.810249675906654,0.7213114754098361,52.681796,0.015028386478948094,4,253,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 61, ""turnout_pct"": 0.721, ""support_pct"": 0.864}",REGION_05,2,Region 05,71,80979,0.2618,40,0.6666666666666666,0.13333333333333333,10.0,40,0.1,0.3,0.08636360000000001,0.02,0.10636360000000002
0500278,61,53,0.868852,0.849057,4.127134385045092,7.810249675906654,0.8688524590163934,51.792477,0.01477469297094636,4,254,medium,Low,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 61, ""turnout_pct"": 0.869, ""support_pct"": 0.849}",REGION_04,5,Region 04,16,3377,0.0483,40,0.6666666666666666,0.13333333333333333,10.0,40,0.1,0.3,0.4245285,0.02,0.4445285
0710032,79,63,0.797468,0.761905,4.382026634673881,8.888194417315589,0.7974683544303798,60.190495000000006,0.017170371739399184,4,250,medium,Low,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 79, ""turnout_pct"": 0.797, ""support_pct"": 0.762}",REGION_10,1,Region 10,99,101232,0.2116,52,0.8666666666666667,0.17333333333333334,13.0,52,0.2,0.4,0.49523825000000005,0.026000000000000002,0.52123825
0710048,83,68,0.819277,0.676471,4.430816798843313,9.1104335791443,0.8192771084337349,56.147093000000005,0.01601692192258292,4,251,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 83, ""turnout_pct"": 0.819, ""support_pct"": 0.676}",REGION_10,1,Region 10,99,101232,0.2116,55,0.9166666666666666,0.18333333333333332,13.75,55,0.2,0.5,0.09301476250000003,0.0275,0.12051476250000002
0750044,69,54,0.782609,0.777778,4.248495242049359,8.306623862918075,0.782608695652174,53.666681999999994,0.015309342113902249,4,252,medium,Low,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 69, ""turnout_pct"": 0.783, ""support_pct"": 0.778}",REGION_10,1,Region 10,99,101232,0.2116,46,0.7666666666666667,0.15333333333333335,11.5,46,0.2,0.4,0.44722235000000005,0.023,0.47022235000000007
