canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0500027,89,63,0.707865,0.555556,4.499809670330265,9.433981132056603,0.7078651685393258,49.444484,0.014104887669436432,4,258,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 89, ""turnout_pct"": 0.708, ""support_pct"": 0.556}",REGION_07,4,Region 07,81,64265,0.1452,59,0.9833333333333333,0.19666666666666666,14.75,59,0.2,0.5,0.08194451000000001,0.029500000000000002,0.11144451000000001
0500126,53,39,0.735849,0.974359,3.9889840465642745,7.280109889280518,0.7358490566037735,51.641027,0.014731489259132197,4,256,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 53, ""turnout_pct"": 0.736, ""support_pct"": 0.974}",REGION_01,7,Region 01,13,652,0.0135,35,0.5833333333333334,0.11666666666666667,8.75,35,0.1,0.3,0.08525641250000002,0.0175,0.10275641250000002
0720008,96,74,0.770833,0.513514,4.574710978503383,9.797958971132712,0.7708333333333334,49.297344,0.014062913459094162,4,259,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 96, ""turnout_pct"": 0.771, ""support_pct"": 0.514}",REGION_07,4,Region 07,81,64265,0.1452,64,1.0666666666666667,0.21333333333333332,16.0,64,0.2,0.5,0.08216224000000003,0.032,0.11416224000000003
0720024,71,53,0.746479,0.716981,4.276666119016055,8.426149773176359,0.7464788732394366,50.905651,0.014521710633981623,4,257,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 71, ""turnout_pct"": 0.746, ""support_pct"": 0.717}",REGION_10,1,Region 10,99,101232,0.2116,47,0.7833333333333333,0.15666666666666668,11.75,47,0.2,0.4,0.08424526750000001,0.0235,0.10774526750000002
0740029,79,55,0.696203,0.654545,4.382026634673881,8.888194417315589,0.6962025316455697,51.709055000000006,0.014750895413686797,4,255,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 79, ""turnout_pct"": 0.696, ""support_pct"": 0.655}",REGION_07,4,Region 07,81,64265,0.1452,52,0.8666666666666667,0.17333333333333334,13.0,52,0.2,0.4,0.08509085000000002,0.026000000000000002,0.11109085000000002
