canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0100134,REGION_03,3,Region 03,4,0,0.0
0100250,REGION_10,10,Region 10,6,0,0.0
0100267,REGION_04,4,Region 04,12,0,0.0
0200029,REGION_01,1,Region 01,8,0,0.0
0200048,REGION_02,2,Region 02,2,0,0.0
0200117,REGION_02,2,Region 02,2,0,0.0
0200121,REGION_03,3,Region 03,4,0,0.0
0200122,REGION_06,6,Region 06,8,0,0.0
0200130,REGION_05,5,Region 05,3,0,0.0
0200136,REGION_03,3,Region 03,4,0,0.0
0200142,REGION_06,6,Region 06,8,0,0.0
0200147,REGION_04,4,Region 04,12,0,0.0
0250047,REGION_10,10,Region 10,6,0,0.0
0250052,REGION_08,8,Region 08,5,0,0.0
0710049,REGION_01,1,Region 01,8,0,0.0
0710050,REGION_04,4,Region 04,12,0,0.0
0710051,REGION_07,7,Region 07,4,0,0.0
0710052,REGION_04,4,Region 04,12,0,0.0
0710053,REGION_03,3,Region 03,4,0,0.0
0720011,REGION_05,5,Region 05,3,0,0.0
0720012,REGION_08,8,Region 08,5,0,0.0
0720013,REGION_08,8,Region 08,5,0,0.0
0720014,REGION_01,1,Region 01,8,0,0.0
0720015,REGION_04,4,Region 04,12,0,0.0
0720016,REGION_01,1,Region 01,8,0,0.0
0720017,REGION_09,9,Region 09,3,0,0.0
0720018,REGION_05,5,Region 05,3,0,0.0
0720019,REGION_01,1,Region 01,8,0,0.0
0720020,REGION_01,1,Region 01,8,0,0.0
0720021,REGION_04,4,Region 04,12,0,0.0
0720022,REGION_01,1,Region 01,8,0,0.0
0720023,REGION_08,8,Region 08,5,0,0.0
0720024,REGION_01,1,Region 01,8,0,0.0
0720025,REGION_04,4,Region 04,12,0,0.0
0720026,REGION_04,4,Region 04,12,0,0.0
0720027,REGION_04,4,Region 04,12,0,0.0
0720028,REGION_04,4,Region 04,12,0,0.0
0720029,REGION_04,4,Region 04,12,0,0.0
0720030,REGION_04,4,Region 04,12,0,0.0
0725001,REGION_06,6,Region 06,8,0,0.0
0725002,REGION_06,6,Region 06,8,0,0.0
0725003,REGION_10,10,Region 10,6,0,0.0
0725004,REGION_07,7,Region 07,4,0,0.0
0725005,REGION_09,9,Region 09,3,0,0.0
0725006,REGION_10,10,Region 10,6,0,0.0
0725007,REGION_10,10,Region 10,6,0,0.0
0725008,REGION_09,9,Region 09,3,0,0.0
0725009,REGION_08,8,Region 08,5,0,0.0
0725010,REGION_10,10,Region 10,6,0,0.0
0725011,REGION_06,6,Region 06,8,0,0.0
0725012,REGION_07,7,Region 07,4,0,0.0
0725013,REGION_06,6,Region 06,8,0,0.0
0725014,REGION_06,6,Region 06,8,0,0.0
0725015,REGION_06,6,Region 06,8,0,0.0
0725016,REGION_07,7,Region 07,4,0,0.0
