scenario,max_shifts_budget,shifts_assigned,contacts_estimated,expected_net_gain_votes,expected_added_yes_votes,generated_at
baseline,0,0,0,0.0,0.0,2026-03-14T00:10:03.185624
lite,20,0,0,0.0,0.0,2026-03-14T00:10:31.376915
medium,50,0,0,0.0,0.0,2026-03-14T00:11:05.305520
heavy,100,0,0,0.0,0.0,2026-03-14T00:11:33.137422
