week,week_start,doors_goal,shifts_goal,volunteers_goal,contacts_goal,expected_net_gain_votes,notes
1,2026-03-10,8647,144,29,2162,31.3,ops
2,2026-03-17,8647,144,29,2162,31.3,
3,2026-03-24,8647,144,29,2162,31.3,
4,2026-03-31,8647,144,29,2162,31.3,
