mprec,srprec
"0310010","0731002"
"0310011","0731005"
"0310012","0731001"
"0310013","0731001"
"0310014","0731004"
"0310015","0731005"
"0310016","0310016"
"0310017","0731002"
"0310018","0731007"
"0310019","0731004"
"0310020","0731007"
"0310021","0731002"
"0310022","0310022"
"0310023","0310023"
"0310024","0310024"
"0310025","0310025"
"0310026","0731008"
"0310027","0731008"
"0310028","0731008"
"0310029","0731011"
"0310030","0731011"
"0310031","0731009"
"0310032","0731005"
"0310033","0731010"
"0310034","0731010"
"0310035","0731014"
"0310036","0731014"
"0310037","0731014"
"0310038","0731014"
"0310039","0731005"
"0310040","0731015"
"0310041","0731015"
"0310042","0731016"
"0310043","0731016"
"0310044","0731009"
"0310045","0731003"
"0310046","0731012"
"0310047","0731012"
"0310048","0731012"
"0310049","0731013"
"0310050","0731009"
"0310051","0731008"
"0310052","0310052"
"0310053","0731006"
"0310054","0731006"
"0310055","0731013"
"0360001","0736001"
"0360002","0736003"
"0360003","0736002"
"0360004","0736005"
"0360005","0736004"
"0360006","0736008"
"0360007","0736003"
"0360008","0736009"
"0360009","0736006"
"0360010","0360010"
"0360011","0736009"
"0360012","0736005"
"0360013","0736002"
"0360014","0736004"
"0360015","0736009"
"0360016","0736010"
"0360017","0736005"
"0360018","0736002"
"0360019","0736006"
"0360020","0360020"
"0360021","0736001"
"0360022","0736007"
"0360023","0736007"
"0360024","0736003"
"0360025","0736002"
"0360026","0736006"
"0360027","0736001"
"0360028","0736001"
"0360029","0736006"
"0360030","0736008"
"0360031","0736011"
"0360032","0736011"
"0360033","0736010"
"0360034","0736006"
"0360035","0736003"
"0360036","0736004"
"0360037","0736002"
"0360038","0736003"
"0360039","0736006"
"0400001","0400001"
"0400002","0740019"
"0400003","0400003"
"0400004","0740019"
"0400005","0400005"
"0400006","0740020"
"0400007","0740020"
"0400008","0400008"
"0400009","0740020"
"0400010","0400010"
"0400011","0400011"
"0400012","0740020"
"0400013","0400013"
"0400014","0740001"
"0400015","0740001"
